2019-03-31 15:50:56,814 [1] DEBUG MyServer-61494432 - The command 11(NewPlat.MyCommand.MyCommand11, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 15:50:56,836 [1] DEBUG MyServer-61494432 - The command 01(NewPlat.MyCommand.MyCommand01, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 15:50:56,836 [1] DEBUG MyServer-61494432 - The command 22(NewPlat.MyCommand.MyCommand22, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 15:50:56,837 [1] DEBUG MyServer-61494432 - The command 33(NewPlat.MyCommand.MyCommand33, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 15:50:56,837 [1] DEBUG MyServer-61494432 - The command 44(NewPlat.MyCommand.MyCommand44, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 15:50:56,838 [1] DEBUG MyServer-61494432 - The command 51(NewPlat.MyCommand.MyCommand51, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 15:50:56,838 [1] DEBUG MyServer-61494432 - The command 81(NewPlat.MyCommand.MyCommand81, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 15:50:56,838 [1] DEBUG MyServer-61494432 - The command 8E(NewPlat.MyCommand.MyCommand8E, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 15:50:56,838 [1] DEBUG MyServer-61494432 - The command 00(NewPlat.MyCommand.Test00, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 15:50:57,019 [1] DEBUG MyServer-61494432 - Listener (0.0.0.0:3001) was started
2019-03-31 16:38:12,405 [1] DEBUG MyServer-49652976 - The command 11(NewPlat.MyCommand.MyCommand11, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 16:38:12,458 [1] DEBUG MyServer-49652976 - The command 01(NewPlat.MyCommand.MyCommand01, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 16:38:12,458 [1] DEBUG MyServer-49652976 - The command 22(NewPlat.MyCommand.MyCommand22, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 16:38:12,458 [1] DEBUG MyServer-49652976 - The command 33(NewPlat.MyCommand.MyCommand33, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 16:38:12,459 [1] DEBUG MyServer-49652976 - The command 44(NewPlat.MyCommand.MyCommand44, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 16:38:12,459 [1] DEBUG MyServer-49652976 - The command 51(NewPlat.MyCommand.MyCommand51, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 16:38:12,459 [1] DEBUG MyServer-49652976 - The command 81(NewPlat.MyCommand.MyCommand81, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 16:38:12,459 [1] DEBUG MyServer-49652976 - The command 8E(NewPlat.MyCommand.MyCommand8E, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 16:38:12,460 [1] DEBUG MyServer-49652976 - The command 00(NewPlat.MyCommand.Test00, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 16:38:12,631 [1] DEBUG MyServer-49652976 - Listener (0.0.0.0:3001) was started
2019-03-31 17:01:24,375 [1] DEBUG MyServer-44115416 - The command 11(NewPlat.MyCommand.MyCommand11, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 17:01:24,460 [1] DEBUG MyServer-44115416 - The command 01(NewPlat.MyCommand.MyCommand01, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 17:01:24,460 [1] DEBUG MyServer-44115416 - The command 22(NewPlat.MyCommand.MyCommand22, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 17:01:24,460 [1] DEBUG MyServer-44115416 - The command 33(NewPlat.MyCommand.MyCommand33, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 17:01:24,461 [1] DEBUG MyServer-44115416 - The command 44(NewPlat.MyCommand.MyCommand44, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 17:01:24,461 [1] DEBUG MyServer-44115416 - The command 51(NewPlat.MyCommand.MyCommand51, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 17:01:24,462 [1] DEBUG MyServer-44115416 - The command 81(NewPlat.MyCommand.MyCommand81, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 17:01:24,462 [1] DEBUG MyServer-44115416 - The command 8E(NewPlat.MyCommand.MyCommand8E, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 17:01:24,463 [1] DEBUG MyServer-44115416 - The command 00(NewPlat.MyCommand.Test00, NewPlat, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null) has been discovered
2019-03-31 17:01:24,643 [1] DEBUG MyServer-44115416 - Listener (0.0.0.0:3001) was started
